Tweet_date,Tweet_time,Tweet_City,Tweet_Country,Tweet_account,Retweet_count,Tweet_Text,Sentiment Score,Polarity
4/1/2020,0:08:00,NA,Australia,GSK_AU,0,ask award research excellence open nomination celebrating year awarding outset,0,neutral
4/1/2020,0:35:00,NA,Australia,GSK_AU,3,award research excellence open nomination award target high calibre mid-career clinic,0.08,positive
4/1/2020,0:45:00,Basel,Switzerland,Novartis News,31,face global crisis novartis mobilized ramp capability medicine clinical trial expertise,0,neutral
4/1/2020,0:46:00,Basel,Switzerland,Novartis News,2,information response visit,0,neutral
4/1/2020,0:59:00,Basel,Switzerland,Novartis News,4,clinical investigation assessing portfolio existing amp investigational medicine potent,0.5,positive
4/1/2020,0:59:00,Basel,Switzerland,Novartis News,3,ramp response leveraging capability discovery development amp scale manufacturing collar,0,neutral
4/1/2020,1:00:00,Basel,Switzerland,Novartis News,3,community fund response fund provide million support community world,0,neutral
4/1/2020,1:02:00,Basel,Switzerland,Novartis News,3,drug donation amp pricing commitment committed donate million do hydroxychloroqu,0,neutral
4/1/2020,1:17:00,Basel,Switzerland,Novartis,0,reaching contact office uk click,0,neutral
4/1/2020,1:22:00,Basel,Switzerland,Novartis,0,reaching hear experience provide contact info,0,neutral
4/1/2020,1:25:00,Dubai,UAE,EmiratesSupport,0,jimmieboswell travel voucher option option open ticket yo,0,neutral
4/1/2020,1:36:00,Dubai,UAE,EmiratesSupport,0,distant replied ,-0.1,negative
4/1/2020,1:38:00,Dubai,UAE,EmiratesSupport,0,paige replied ,0,neutral
4/1/2020,1:38:00,Dubai,UAE,EmiratesSupport,0,mark booked travel agency contact option booked direct,0.1,positive
4/1/2020,1:39:00,Dubai,UAE,EmiratesSupport,0,doug  booking reference email address guide,0,neutral
4/1/2020,1:39:00,Dubai,UAE,EmiratesSupport,0,oscarspanna send direct message booking reference email address contact,0.1,positive
4/1/2020,1:39:00,Dubai,UAE,EmiratesSupport,0,reddyrakesh issued ticket travel agency discus reboot,0,neutral
4/1/2020,1:52:00,Dubai,UAE,EmiratesSupport,0,lyndsey replied ,0,neutral
4/1/2020,1:53:00,Dubai,UAE,EmiratesSupport,0,abdlilaah replied back ,0,neutral
4/1/2020,1:55:00,Dubai,UAE,EmiratesSupport,0,jade  booking reference email id mentioned booking,0,neutral
4/1/2020,1:59:00,Dubai,UAE,EmiratesSupport,0,baldwin replied back ,0,neutral
4/1/2020,2:00:00,Dubai,UAE,EmiratesSupport,0,david  booking reference email address guide,0,neutral
4/1/2020,2:00:00,Dubai,UAE,EmiratesSupport,0,harrymahoney answered  travel voucher check option,0,neutral
4/1/2020,2:02:00,Dubai,UAE,EmiratesSupport,0,harrymahoney travel voucher,0,neutral
4/1/2020,2:05:00,Dubai,UAE,EmiratesSupport,0,replied ,0,neutral
4/1/2020,2:06:00,Dubai,UAE,EmiratesSupport,0,team extremely busy assist page above,0.05,positive
4/1/2020,2:07:00,Dubai,UAE,EmiratesSupport,0,showcallcrewing check option offering,0,neutral
4/1/2020,2:09:00,Dubai,UAE,EmiratesSupport,0,amandaplease  booking reference email address mentioned booking,0,neutral
4/1/2020,2:10:00,Dubai,UAE,EmiratesSupport,0,charlotte due current situation relating ovid experiencing severe delay,-0.063,negative
4/1/2020,2:12:00,Dubai,UAE,EmiratesSupport,0,lesleychattert check option offering,0,neutral
4/1/2020,2:12:00,Dubai,UAE,EmiratesSupport,0,dinmehboob check option offering,0,neutral
4/1/2020,2:12:00,Dubai,UAE,EmiratesSupport,0,chris replied ,0,neutral
4/1/2020,2:13:00,Dubai,UAE,EmiratesSupport,0,hassan replied  check into,0,neutral
4/1/2020,2:20:00,Dubai,UAE,EmiratesSupport,0,booked ticket travel agency reach check,0,neutral
4/1/2020,2:20:00,Dubai,UAE,EmiratesSupport,0,pasgaspard flight suspended uae government directive check,0,neutral
4/1/2020,2:25:00,Dubai,UAE,EmiratesSupport,0,georgia realise suspension affected holiday control,0,neutral
4/1/2020,2:34:00,Dubai,UAE,EmiratesSupport,0,jamie flight suspension control due ovid amp travel restriction ,-0.125,negative
4/1/2020,2:40:00,Dubai,UAE,EmiratesSupport,0,ideas replied ,0,neutral
4/1/2020,2:59:00,Dubai,UAE,EmiratesSupport,0,dani check option offering hel,0,neutral
4/1/2020,3:00:00,Dubai,UAE,EmiratesSupport,0,muhammad were suspended flight notice  book,0,neutral
4/1/2020,3:08:00,Dubai,UAE,EmiratesSupport,0,nan,0,neutral
4/1/2020,3:15:00,Dubai,UAE,EmiratesSupport,0,webster make booking flight scheduled departure day,0,neutral
4/1/2020,3:16:00,Dubai,UAE,EmiratesSupport,0,livia received complaint due current situation relating ovid exp,-0.142,negative
4/1/2020,3:16:00,Dubai,UAE,EmiratesSupport,0,emily back ,0,neutral
4/1/2020,3:18:00,Dubai,UAE,EmiratesSupport,0, booking reference email address mentioned booking lin,0,neutral
4/1/2020,3:23:00,Dubai,UAE,EmiratesSupport,0,replied ,0,neutral
4/1/2020,3:32:00,Dubai,UAE,EmiratesSupport,0,sarah back ,0,neutral
4/1/2020,3:33:00,Dubai,UAE,EmiratesSupport,0,tamara replied ,0,neutral
4/1/2020,3:45:00,Dubai,UAE,EmiratesSupport,0,polly replied ,0,neutral
4/1/2020,3:48:00,Dubai,UAE,EmiratesSupport,0,check travel update flight status online confirm resume,0,neutral
4/1/2020,3:51:00,Dubai,UAE,EmiratesSupport,0,refund booking,0,neutral
